FullTime,DateHour,hour,Code,Value,X,Y
2019-12-23T16:40:08.122677,,,c53,81,81,186
2019-12-23T16:40:08.122677,,,c54,186,81,186
2019-12-23T16:40:08.141815,,,c53,84,84,187
2019-12-23T16:40:08.141815,,,c54,187,84,187
2019-12-23T16:40:08.160490,,,c53,86,86,188
2019-12-23T16:40:08.160490,,,c54,188,86,188
2019-12-23T16:40:08.179491,,,c53,90,90,190
2019-12-23T16:40:08.179491,,,c54,190,90,190
2019-12-23T16:40:08.198855,,,c53,93,93,192
2019-12-23T16:40:08.198855,,,c54,192,93,192
2019-12-23T16:40:08.217955,,,c53,96,96,193
2019-12-23T16:40:08.217955,,,c54,193,96,193
2019-12-23T16:40:08.237095,,,c53,99,99,195
2019-12-23T16:40:08.237095,,,c54,195,99,195
2019-12-23T16:40:08.256135,,,c53,103,103,196
2019-12-23T16:40:08.256135,,,c54,196,103,196
2019-12-23T16:40:08.275179,,,c53,106,106,197
2019-12-23T16:40:08.275179,,,c54,197,106,197
2019-12-23T16:40:08.294195,,,c53,109,109,198
2019-12-23T16:40:08.294195,,,c54,198,109,198
2019-12-23T16:40:08.312544,,,c53,112,112,199
2019-12-23T16:40:08.312544,,,c54,199,112,199
2019-12-23T16:40:08.332162,,,c53,116,116,200
2019-12-23T16:40:08.332162,,,c54,200,116,200
2019-12-23T16:40:08.351229,,,c53,119,119,201
2019-12-23T16:40:08.351229,,,c54,201,119,201
2019-12-23T16:40:08.370134,,,c53,122,201,122
2019-12-23T16:40:08.388946,,,c53,126,126,202
2019-12-23T16:40:08.388946,,,c54,202,126,202
2019-12-23T16:40:08.408487,,,c53,129,129,203
2019-12-23T16:40:08.408487,,,c54,203,129,203
2019-12-23T16:40:08.427469,,,c53,132,203,132
2019-12-23T16:40:08.446533,,,c53,135,135,204
2019-12-23T16:40:08.446533,,,c54,204,135,204
2019-12-23T16:40:08.465647,,,c53,138,204,138
2019-12-23T16:40:08.484619,,,c53,142,142,205
2019-12-23T16:40:08.484619,,,c54,205,142,205
2019-12-23T16:40:08.503700,,,c53,145,205,145
2019-12-23T16:40:08.522736,,,c53,148,205,148
2019-12-23T16:40:08.541630,,,c53,152,205,152
2019-12-23T16:40:08.560581,,,c53,155,205,155
2019-12-23T16:40:08.579440,,,c53,157,205,157
2019-12-23T16:40:08.598728,,,c53,161,205,161
2019-12-23T16:40:08.618018,,,c53,164,205,164
2019-12-23T16:40:08.636432,,,c53,167,205,167
2019-12-23T16:40:08.656011,,,c53,170,205,170
2019-12-23T16:40:08.675059,,,c53,173,205,173
2019-12-23T16:40:08.694100,,,c53,176,205,176
2019-12-23T16:40:08.712444,,,c53,179,179,203
