Time,Code,Value
2020-04-28T03:58:39.009448,54,216
2020-04-28T03:58:39.019358,54,215
2020-04-28T03:58:39.036898,54,217
2020-04-28T03:58:39.046007,54,218
2020-04-28T03:58:39.064051,54,219
2020-04-28T03:58:39.073960,54,220
2020-04-28T03:58:39.082176,54,219
2020-04-28T03:58:39.091235,54,217
2020-04-28T03:58:39.100238,54,216
2020-04-28T03:58:39.109378,54,215
2020-04-28T03:58:39.119306,54,214
2020-04-28T03:58:39.136528,54,215
2020-04-28T03:58:39.145737,54,217
2020-04-28T03:58:39.154805,54,218
2020-04-28T03:58:39.173955,54,216
2020-04-28T03:58:39.181965,54,215
2020-04-28T03:58:39.218477,54,216
2020-04-28T03:58:39.245839,54,217
2020-04-28T03:58:39.263809,54,218
2020-04-28T03:58:39.272887,54,219
2020-04-28T03:58:39.309258,54,220
2020-04-28T03:58:39.318286,54,219
2020-04-28T03:58:39.327471,54,218
2020-04-28T03:58:39.336445,54,216
2020-04-28T03:58:39.345549,54,215
2020-04-28T03:58:39.354716,54,214
2020-04-28T03:58:39.372755,54,213
2020-04-28T03:58:39.409116,54,212
2020-04-28T03:58:39.436543,54,213
2020-04-28T03:58:39.445479,54,215
2020-04-28T03:58:39.454536,54,216
2020-04-28T03:58:39.463723,54,218
2020-04-28T03:58:39.481793,54,216
2020-04-28T03:58:39.490925,54,215
2020-04-28T03:58:39.499965,54,214
2020-04-28T03:58:39.518108,54,213
2020-04-28T03:58:39.554419,54,212
2020-04-28T03:58:39.627805,54,214
2020-04-28T03:58:39.636220,54,216
2020-04-28T03:58:39.645299,54,217
2020-04-28T03:58:39.664042,54,216
2020-04-28T03:58:39.673341,54,215
2020-04-28T03:58:39.681611,54,214
2020-04-28T03:58:39.699776,54,213
2020-04-28T03:58:39.736084,54,212
2020-04-28T03:58:39.846342,54,213
2020-04-28T03:58:39.854274,54,215
2020-04-28T03:58:39.863367,54,216
2020-04-28T03:58:39.872504,54,218
2020-04-28T03:58:39.891309,54,216
2020-04-28T03:58:39.899609,54,215
2020-04-28T03:58:39.908707,54,214
2020-04-28T03:58:39.926876,54,213
2020-04-28T03:58:39.963195,54,212
2020-04-28T03:58:40.009444,54,213
2020-04-28T03:58:40.017718,54,215
2020-04-28T03:58:40.026837,54,216
2020-04-28T03:58:40.035849,54,218
2020-04-28T03:58:40.055122,54,219
2020-04-28T03:58:40.063324,54,220
2020-04-28T03:58:40.099472,54,221
2020-04-28T03:58:40.117605,54,220
2020-04-28T03:58:40.126780,54,218
2020-04-28T03:58:40.163101,54,219
2020-04-28T03:58:40.181185,54,217
2020-04-28T03:58:40.190299,54,216
2020-04-28T03:58:40.199391,54,215
2020-04-28T03:58:40.208456,54,214
2020-04-28T03:58:40.226707,54,213
2020-04-28T03:58:40.262872,54,212
2020-04-28T03:58:40.290273,54,213
2020-04-28T03:58:40.299503,54,215
2020-04-28T03:58:40.308568,54,216
2020-04-28T03:58:40.317557,54,218
2020-04-28T03:58:40.335743,54,219
2020-04-28T03:58:40.344894,54,220
2020-04-28T03:58:40.527092,54,219
2020-04-28T03:58:40.562869,54,220
2020-04-28T03:58:40.589858,54,221
2020-04-28T03:58:40.608965,54,220
2020-04-28T03:58:40.617092,54,218
2020-04-28T03:58:40.626264,54,216
2020-04-28T03:58:40.635265,54,215
2020-04-28T03:58:40.654275,54,214
2020-04-28T03:58:40.662565,54,213
2020-04-28T03:58:40.698878,54,212
2020-04-28T03:58:40.735367,54,213
2020-04-28T03:58:40.744501,54,214
2020-04-28T03:58:40.753624,54,215
2020-04-28T03:58:40.772771,54,216
2020-04-28T03:58:40.780868,54,217
2020-04-28T03:58:40.789905,54,218
2020-04-28T03:58:40.798972,54,219
2020-04-28T03:58:40.816939,54,220
2020-04-28T03:58:40.881494,54,219
2020-04-28T03:58:40.936170,54,217
2020-04-28T03:58:40.981405,54,218
2020-04-28T03:58:40.989568,54,219
2020-04-28T03:58:41.007904,54,220
2020-04-28T03:58:41.035108,54,221
2020-04-28T03:58:41.308569,54,220
2020-04-28T03:58:41.362892,54,218
2020-04-28T03:58:41.370990,54,216
2020-04-28T03:58:41.380096,54,215
2020-04-28T03:58:41.389169,54,214
2020-04-28T03:58:41.408431,54,213
2020-04-28T03:58:41.444389,54,212
2020-04-28T03:58:41.461851,54,214
2020-04-28T03:58:41.470953,54,216
2020-04-28T03:58:41.481121,54,217
2020-04-28T03:58:41.490275,54,218
2020-04-28T03:58:41.498255,54,219
2020-04-28T03:58:41.572002,54,220
2020-04-28T03:58:41.608299,54,221
2020-04-28T03:58:41.616326,54,220
2020-04-28T03:58:41.680883,54,221
2020-04-28T03:58:41.944244,54,220
2020-04-28T03:58:41.952486,54,218
2020-04-28T03:58:41.961558,54,217
2020-04-28T03:58:41.970650,54,215
2020-04-28T03:58:41.989784,54,217
2020-04-28T03:58:41.998033,54,218
2020-04-28T03:58:42.007078,54,219
2020-04-28T03:58:42.080619,54,220
2020-04-28T03:58:42.116994,54,221
2020-04-28T03:58:42.298629,54,220
2020-04-28T03:58:42.353106,54,221
2020-04-28T03:58:42.507438,54,220
2020-04-28T03:58:42.515592,54,218
2020-04-28T03:58:42.524677,54,216
2020-04-28T03:58:42.533768,54,215
2020-04-28T03:58:42.552858,54,214
2020-04-28T03:58:42.561024,54,213
2020-04-28T03:58:42.597296,54,212
2020-04-28T03:58:42.689353,54,213
2020-04-28T03:58:42.697206,54,215
2020-04-28T03:58:42.706497,54,216
2020-04-28T03:58:42.715554,54,218
2020-04-28T03:58:42.733741,54,219
2020-04-28T03:58:42.742843,54,220
2020-04-28T03:58:42.779151,54,221
2020-04-28T03:58:42.889007,54,220
2020-04-28T03:58:42.897072,54,218
2020-04-28T03:58:42.924305,54,219
2020-04-28T03:58:42.943070,54,220
2020-04-28T03:58:42.969660,54,221
2020-04-28T03:58:42.978784,54,220
2020-04-28T03:58:42.987846,54,218
2020-04-28T03:58:42.996976,54,216
2020-04-28T03:58:43.006000,54,215
2020-04-28T03:58:43.025039,54,214
2020-04-28T03:58:43.033369,54,213
2020-04-28T03:58:43.051603,54,214
2020-04-28T03:58:43.060600,54,216
2020-04-28T03:58:43.069645,54,217
2020-04-28T03:58:43.078692,54,218
2020-04-28T03:58:43.096885,54,217
2020-04-28T03:58:43.105919,54,215
2020-04-28T03:58:43.124070,54,214
2020-04-28T03:58:43.133219,54,213
2020-04-28T03:58:43.169527,54,212
2020-04-28T03:58:43.215083,54,213
2020-04-28T03:58:43.224210,54,215
2020-04-28T03:58:43.233301,54,216
2020-04-28T03:58:43.242485,54,218
2020-04-28T03:58:43.260572,54,219
2020-04-28T03:58:43.269642,54,220
2020-04-28T03:58:43.333993,54,221
2020-04-28T03:58:43.342150,54,220
2020-04-28T03:58:43.351167,54,218
2020-04-28T03:58:43.360329,54,216
2020-04-28T03:58:43.369790,54,215
2020-04-28T03:58:43.387495,54,214
2020-04-28T03:58:43.396618,54,213
2020-04-28T03:58:43.452142,54,214
2020-04-28T03:58:43.460431,54,215
2020-04-28T03:58:43.469462,54,217
2020-04-28T03:58:43.478384,54,218
2020-04-28T03:58:43.496559,54,219
2020-04-28T03:58:43.505758,54,220
2020-04-28T03:58:43.542145,54,221
2020-04-28T03:58:43.633497,54,220
2020-04-28T03:58:43.641860,54,218
2020-04-28T03:58:43.670010,54,219
2020-04-28T03:58:43.687257,54,220
2020-04-28T03:58:43.714814,54,221
2020-04-28T03:58:43.806571,54,220
2020-04-28T03:58:43.860311,54,221
2020-04-28T03:58:43.868929,54,220
2020-04-28T03:58:43.969523,54,218
2020-04-28T03:58:44.024412,54,219
2020-04-28T03:58:44.050654,54,217
2020-04-28T03:58:44.077868,54,218
2020-04-28T03:58:44.086927,54,219
2020-04-28T03:58:44.132369,54,220
2020-04-28T03:58:44.250904,54,219
2020-04-28T03:58:44.259564,54,218
2020-04-28T03:58:44.304928,54,219
2020-04-28T03:58:44.323075,54,220
2020-04-28T03:58:44.332177,54,219
2020-04-28T03:58:44.341267,54,217
2020-04-28T03:58:44.369546,54,218
2020-04-28T03:58:44.377533,54,219
2020-04-28T03:58:44.395675,54,217
2020-04-28T03:58:44.441911,54,218
2020-04-28T03:58:44.487640,54,219
2020-04-28T03:58:44.513845,54,217
2020-04-28T03:58:44.523520,54,216
2020-04-28T03:58:44.532024,54,215
2020-04-28T03:58:44.569629,54,216
2020-04-28T03:58:44.595593,54,218
2020-04-28T03:58:44.613815,54,219
2020-04-28T03:58:44.631907,54,217
2020-04-28T03:58:44.641026,54,216
2020-04-28T03:58:44.650879,54,215
2020-04-28T03:58:44.659545,54,214
2020-04-28T03:58:44.695537,54,216
2020-04-28T03:58:44.704520,54,217
2020-04-28T03:58:44.722746,54,218
2020-04-28T03:58:44.731786,54,219
2020-04-28T03:58:44.896316,54,220
2020-04-28T03:58:44.968311,54,219
2020-04-28T03:58:44.977182,54,218
2020-04-28T03:58:44.986144,54,216
2020-04-28T03:58:44.995220,54,215
2020-04-28T03:58:45.013351,54,216
2020-04-28T03:58:45.022676,54,217
2020-04-28T03:58:45.031697,54,218
2020-04-28T03:58:45.040861,54,219
2020-04-28T03:58:45.058811,54,220
2020-04-28T03:58:45.095090,54,218
2020-04-28T03:58:45.150327,54,219
2020-04-28T03:58:45.422861,54,220
2020-04-28T03:58:45.449582,54,221
2020-04-28T03:58:45.496001,54,220
2020-04-28T03:58:45.532284,54,219
2020-04-28T03:58:45.577142,54,217
2020-04-28T03:58:45.585544,54,216
2020-04-28T03:58:45.594695,54,215
2020-04-28T03:58:45.631190,54,216
2020-04-28T03:58:45.658231,54,218
2020-04-28T03:58:45.676694,54,219
2020-04-28T03:58:45.694587,54,217
2020-04-28T03:58:45.703675,54,216
2020-04-28T03:58:45.721800,54,217
2020-04-28T03:58:45.730922,54,218
2020-04-28T03:58:45.740044,54,219
2020-04-28T03:58:45.758102,54,217
2020-04-28T03:58:45.767215,54,216
2020-04-28T03:58:45.776587,54,215
2020-04-28T03:58:45.785373,54,214
2020-04-28T03:58:45.803539,54,213
2020-04-28T03:58:45.840510,54,212
2020-04-28T03:58:45.931978,54,213
2020-04-28T03:58:45.939998,54,215
2020-04-28T03:58:45.948931,54,216
2020-04-28T03:58:45.957978,54,218
2020-04-28T03:58:45.985218,54,219
2020-04-28T03:58:46.003449,54,220
2020-04-28T03:58:46.012500,54,219
2020-04-28T03:58:46.021557,54,218
2020-04-28T03:58:46.030649,54,216
2020-04-28T03:58:46.058060,54,217
2020-04-28T03:58:46.076396,54,218
2020-04-28T03:58:46.085144,54,219
2020-04-28T03:58:46.121478,54,220
2020-04-28T03:58:46.186368,54,219
2020-04-28T03:58:46.231472,54,217
2020-04-28T03:58:46.239609,54,216
2020-04-28T03:58:46.248645,54,215
2020-04-28T03:58:46.257700,54,214
2020-04-28T03:58:46.276286,54,213
2020-04-28T03:58:46.312271,54,212
2020-04-28T03:58:46.467952,54,213
2020-04-28T03:58:46.476006,54,215
2020-04-28T03:58:46.484870,54,216
2020-04-28T03:58:46.494281,54,217
2020-04-28T03:58:46.503010,54,218
2020-04-28T03:58:46.540343,54,219
2020-04-28T03:58:46.548481,54,220
2020-04-28T03:58:46.557526,54,219
2020-04-28T03:58:46.621710,54,217
2020-04-28T03:58:46.630233,54,216
2020-04-28T03:58:46.648403,54,217
2020-04-28T03:58:46.658521,54,218
2020-04-28T03:58:46.666816,54,219
2020-04-28T03:58:46.721581,54,220
2020-04-28T03:58:46.748309,54,221
2020-04-28T03:58:46.840163,54,220
2020-04-28T03:58:46.848247,54,218
2020-04-28T03:58:46.884560,54,219
2020-04-28T03:58:47.267182,54,220
2020-04-28T03:58:47.321747,54,219
2020-04-28T03:58:47.457926,54,220
2020-04-28T03:58:47.567116,54,219
2020-04-28T03:58:47.612450,54,220
2020-04-28T03:58:47.638729,54,221
2020-04-28T03:58:47.674773,54,220
2020-04-28T03:58:47.683906,54,218
2020-04-28T03:58:47.757619,54,219
2020-04-28T03:58:47.765636,54,220
2020-04-28T03:58:47.774700,54,219
2020-04-28T03:58:47.783850,54,217
2020-04-28T03:58:47.793204,54,216
2020-04-28T03:58:47.801974,54,215
2020-04-28T03:58:47.811133,54,214
2020-04-28T03:58:47.838472,54,215
2020-04-28T03:58:47.847384,54,217
2020-04-28T03:58:47.857301,54,218
2020-04-28T03:58:47.883734,54,219
2020-04-28T03:58:47.893105,54,220
2020-04-28T03:58:47.901866,54,219
2020-04-28T03:58:47.911047,54,217
2020-04-28T03:58:47.920025,54,216
2020-04-28T03:58:47.929157,54,215
2020-04-28T03:58:47.938194,54,214
2020-04-28T03:58:47.957125,54,216
2020-04-28T03:58:47.965474,54,217
2020-04-28T03:58:48.001795,54,218
2020-04-28T03:58:48.019952,54,219
2020-04-28T03:58:48.057324,54,220
2020-04-28T03:58:48.083560,54,218
2020-04-28T03:58:48.092999,54,216
2020-04-28T03:58:48.101725,54,215
2020-04-28T03:58:48.110905,54,214
2020-04-28T03:58:48.128987,54,213
2020-04-28T03:58:48.165298,54,212
2020-04-28T03:58:48.210885,54,214
2020-04-28T03:58:48.219811,54,216
2020-04-28T03:58:48.228913,54,217
2020-04-28T03:58:48.247072,54,216
2020-04-28T03:58:48.302751,54,217
2020-04-28T03:58:48.328823,54,218
2020-04-28T03:58:48.365152,54,219
2020-04-28T03:58:48.611229,54,220
2020-04-28T03:58:48.637844,54,221
2020-04-28T03:58:48.729820,54,220
2020-04-28T03:58:48.766182,54,219
2020-04-28T03:58:48.865874,54,220
2020-04-28T03:58:49.347286,54,221
2020-04-28T03:58:49.410702,54,220
2020-04-28T03:58:49.719466,54,219
2020-04-28T03:58:49.937730,54,220
2020-04-28T03:58:50.037827,54,219
2020-04-28T03:58:50.100927,54,220
2020-04-28T03:58:50.155845,54,221
2020-04-28T03:58:50.319033,54,220
2020-04-28T03:58:50.382877,54,221
2020-04-28T03:58:50.555585,54,220
2020-04-28T03:58:50.581716,54,219
2020-04-28T03:58:50.664168,54,220
2020-04-28T03:58:50.727984,54,221
2020-04-28T03:58:50.782273,54,220
2020-04-28T03:58:50.790399,54,218
2020-04-28T03:58:50.799494,54,216
2020-04-28T03:58:50.808602,54,215
2020-04-28T03:58:50.826874,54,214
2020-04-28T03:58:50.844908,54,216
2020-04-28T03:58:50.853958,54,217
2020-04-28T03:58:50.863093,54,218
2020-04-28T03:58:50.881238,54,219
2020-04-28T03:58:50.973168,54,220
2020-04-28T03:58:51.009318,54,221
2020-04-28T03:58:51.164068,54,220
2020-04-28T03:58:51.245851,54,221
2020-04-28T03:58:51.327608,54,220
2020-04-28T03:58:51.545278,54,221
2020-04-28T03:58:51.627368,54,220
2020-04-28T03:58:51.653443,54,219
2020-04-28T03:58:51.718071,54,220
2020-04-28T03:58:51.863356,54,221
2020-04-28T03:58:51.917954,54,220
2020-04-28T03:58:51.990638,54,219
2020-04-28T03:58:52.072142,54,220
2020-04-28T03:58:52.135936,54,221
2020-04-28T03:58:52.244732,54,220
2020-04-28T03:58:52.252801,54,218
2020-04-28T03:58:52.261876,54,217
2020-04-28T03:58:52.270952,54,215
2020-04-28T03:58:52.290019,54,214
2020-04-28T03:58:52.316508,54,215
2020-04-28T03:58:52.334742,54,216
2020-04-28T03:58:52.361734,54,218
2020-04-28T03:58:52.379921,54,219
2020-04-28T03:58:52.398081,54,217
2020-04-28T03:58:52.407140,54,216
2020-04-28T03:58:52.452689,54,217
2020-04-28T03:58:52.461667,54,218
2020-04-28T03:58:52.470722,54,219
2020-04-28T03:58:52.507226,54,220
2020-04-28T03:58:52.534334,54,221
2020-04-28T03:58:52.635528,54,220
2020-04-28T03:58:52.689965,54,219
2020-04-28T03:58:53.025573,54,217
2020-04-28T03:58:53.034002,54,216
2020-04-28T03:58:53.088630,54,217
2020-04-28T03:58:53.115632,54,218
2020-04-28T03:58:53.316134,54,219
2020-04-28T03:58:53.333736,54,220
2020-04-28T03:58:53.361101,54,221
2020-04-28T03:58:53.406547,54,220
2020-04-28T03:58:53.461928,54,219
2020-04-28T03:58:53.488019,54,220
2020-04-28T03:58:53.525361,54,221
2020-04-28T03:58:53.579700,54,220
2020-04-28T03:58:53.587966,54,218
2020-04-28T03:58:53.597049,54,216
2020-04-28T03:58:53.606121,54,215
2020-04-28T03:58:53.616384,54,214
2020-04-28T03:58:53.633434,54,213
2020-04-28T03:58:53.669718,54,212
2020-04-28T03:58:53.688318,54,213
2020-04-28T03:58:53.697163,54,214
2020-04-28T03:58:53.706254,54,215
